|FPs| = 2893
643 : 100
823 : 100
466 : 100
298 : 101
306 : 101
161 : 101
963 : 101
760 : 102
27 : 102
620 : 104
18 : 104
752 : 105
862 : 105
590 : 105
437 : 105
537 : 106
90 : 106
442 : 107
647 : 108
538 : 108
591 : 108
610 : 109
648 : 110
547 : 113
981 : 113
96 : 113
628 : 114
631 : 114
132 : 114
742 : 115
692 : 115
337 : 116
232 : 116
245 : 117
89 : 117
998 : 118
944 : 118
812 : 118
910 : 118
258 : 119
118 : 119
214 : 119
189 : 120
765 : 121
75 : 121
318 : 122
878 : 122
103 : 122
921 : 123
242 : 123
936 : 124
432 : 124
882 : 124
667 : 124
841 : 125
800 : 125
246 : 125
145 : 125
907 : 126
852 : 126
67 : 127
529 : 128
330 : 128
504 : 128
403 : 128
563 : 130
328 : 131
380 : 131
719 : 132
593 : 132
540 : 132
559 : 132
23 : 132
397 : 133
87 : 133
231 : 134
465 : 134
519 : 134
534 : 135
689 : 135
223 : 135
188 : 136
802 : 137
373 : 137
396 : 137
1 : 137
370 : 138
849 : 138
766 : 138
175 : 138
491 : 139
483 : 140
91 : 140
698 : 141
686 : 141
971 : 142
545 : 142
602 : 142
943 : 142
164 : 142
17 : 142
663 : 143
81 : 143
661 : 144
931 : 145
758 : 145
449 : 145
962 : 145
860 : 145
453 : 145
299 : 146
221 : 146
368 : 146
768 : 146
50 : 146
859 : 147
839 : 147
438 : 147
784 : 147
398 : 148
143 : 148
835 : 149
257 : 149
78 : 150
34 : 150
165 : 151
700 : 152
700, 518 : 101
947, 700 : 101
947, 700, 439 : 101
700, 365 : 105
700, 439, 365 : 101
700, 439 : 122
781 : 152
819 : 153
227 : 154
95 : 154
596 : 155
42 : 155
653 : 158
808 : 158
334 : 158
304 : 159
304, 615 : 106
159 : 160
127 : 160
788 : 162
788, 577 : 114
187 : 162
413 : 164
173 : 164
389 : 164
36 : 165
816 : 166
893 : 167
566 : 167
312 : 168
884, 312 : 102
935 : 169
730 : 169
521 : 169
941 : 169
941, 56 : 100
554, 941 : 101
633, 941 : 101
630, 941 : 101
172, 941 : 102
927 : 170
307 : 170
869 : 171
493 : 171
493, 424 : 102
493, 527, 424 : 100
493, 990, 527, 424 : 100
194, 493, 424 : 100
194, 493, 527, 424 : 100
194, 493, 990, 424 : 100
990, 527, 424, 194, 493 : 100
493, 198, 424 : 100
194, 493, 198, 424 : 100
493, 198, 527, 424 : 100
527, 424, 194, 493, 198 : 100
493, 198, 990, 424 : 100
